substructure,pattern
zeroeth group,eval 1
"amine, primary",[C][NX3;H2;!$(NC=O)]([H])[H]
"amine, secondary",[C][NX3;H;!$(NC=O)]([C])[H]
"amine, tertiary",[C][NX3;H0;!$(NC=O);!$(N=O)]([C])[C]
alkane CH,[CX4][H]
alkene CH,[CX3;$(C=C)][H]
aromatic CH,[c][H]
carbonyl,"[#6,#1][CX3](=O)[#6,#1]"
hydroxyl (alkyl),[C;!$(C=O)][OX2H][H]
carboxylic acid,[CX3](=O)[OX2H][H]
"ester, all","[CX3H1,CX3](=O)[OX2H0][#6]"
ester,"{ester, all}-{nitroester}"
ether,[OD2]([C;!R;!$(C=O)])[C;!R;!$(C=O)]
peroxide,"[#6][OD2][OD2,OD1][#6]"
nitro,"[#6][$([NX3](=O)=O),$([NX3+](=O)[O-])](~[O])(~[O])"
aromatic hydroxyl,[c;!$(C=O)][OX2H][H]
hydroperoxide,"[#6;!$(C=O)][OD2][OX2H,OD1][#1]"
amide,"[CX3](=O)[NX3;!$(N=O)]([#6,#1])[#6,#1]"
nitrate,"[#6][O][NX3;$([NX3](=[OX1])(=[OX1])O),$([NX3+]([OX1-])(=[OX1])O)](~[O])(~[O])"
organosulfate,"[#6][O][SX4;$([SX4](=O)(=O)(O)O),$([SX4+2]([O-])([O-])(O)O)](~[O])(~[O])(~[O])"
carbonylperoxynitrate,[C](=O)OO[N](~O)~[O]
ketone,[CX3;$(C([#6])(=[O])[#6])](=[O;!$([O][O])])
aldehyde,"[CX3;$(C([#6,#1])(=[O])[#6,#1])]([#6,#1])(=[O;!$([O][O])])[H]"
"amide, primary",[CX3;$(C(=[O])[NX3;!$(N=O)])](=[O])[N]([#1])[#1]
"amide, secondary",[CX3;$(C(=[O])[NX3;!$(N=O)]([#6])[#1])](=[O])[N][#1]
"amide, tertiary",[CX3;$(C(=[O])[NX3;!$(N=O)]([#6])[#6])](=[O])[N]
carbonylperoxyacid,C(=O)O[O][H]
peroxy nitrate,[#6][O;!$(OOC(=O))][O;!$(OOC(=O))][N](~O)~[O]
carbon number,[#6]
"ether, aromatic","c~[O,o]~[c,C&!$(C=O)]"
ether (alicyclic),[OD2;R]([C;!$(C=O);R])[C;!$(C=O);R]
"amine, aromatic",[N;!$(NC=O);!$(N=O);$(Na)]
nitroester,"[#6][OX2H0][CX3,CX3H1](=O)[C;$(C[N](~[O])~[O]),$(CC[N](~[O])~[O]),$(CCC[N](~[O])~[O]),$(CCCC[N](~[O])~[O]),$(CCCCC[N](~[O])~[O])]"
nitrophenol,"count_nitrophenols(molecule,'{aromatic hydroxyl},'{nitro})"
C=C-C=O in non-aromatic ring,[$(C=CC=O);A;R]
C=C (non-aromatic),C=C
non-aromatic ring,eval count_nonaromatic_rings(molecule)
aromatic ring,eval count_aromatic_rings(molecule)
nC-OHside-a,"[C;$(C[NX3][CH,CC](=O)),$(CC[NX3][CH,CC](=O)),$(CCC[NX3][CH,CC](=O)),$(CCCC[NX3][CH,CC](=O)),$(CCCCC[NX3][CH,CC](=O))]"
carbon number on the acid-side of an amide (asa),"{carbon number}-{nC-OHside-a}-1 if ({amide, primary}+{amide, secondary}+{amide, tertiary} > 0) else 0"
